,chq,faq
1940,"   Patient fell asleep while driving and woke up in a ditch.  Did not feel sleepy before episode.  Electroencephalogram normal.  Should she be referred for a full sleep study to look for sleep apnea? Apnea Sleep Apnea Syndromes Sleep Apnea, Obstructive Metabolic Syndrome ",   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
1941,   She dropped a tractor weight on her toes.  4th toe red and infected.  She is pregnant.  Is it safe to use Ceftin during pregnancy? ,"   Dropped tractor weight on toes, fourth toe infected. Ceftin safe during pregnancy?"
1942,   She dropped a tractor weight on her toes.  4th toe red and infected.  She is pregnant.  Is it safe to use Ceftin during pregnancy? ,   How do you use Redux?  What are the indications?
1943,   Can uterine fibroids cause constipation? Leiomyoma Myofibroma Constipation ,   Can uterine fibroids cause constipation?
1944,   Can uterine fibroids cause constipation? Leiomyoma Myofibroma Constipation ,   What size pills does digoxin come in?
1945,"   Four years ago was scoped and had chondromalacia of patella.  Now having difficulty again, affecting mobility.  What treatments would be beneficial? ",   What treatments would be beneficial for chondromalacia of patella?
1946,   This is the second patient she has seen recently with cervical spinal stenosis which is not as common as lumbar.  How prevalent is this? Spinal Stenosis Radiculopathy ,"   Second patient with cervical spine stenosis, not as common as lumbar. How prevalent is this?"
1947,   This is the second patient she has seen recently with cervical spinal stenosis which is not as common as lumbar.  How prevalent is this? Spinal Stenosis Radiculopathy ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
1948,   Why is he having rectal bleeding? Hemorrhage ,   Why is he having rectal bleeding?
1949,   Why is he having rectal bleeding? Hemorrhage ,   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
1950,   What is causing her back pain? Back Pain Low Back Pain ,   What is causing her back pain?
1951,   What is causing her back pain? Back Pain Low Back Pain ,   Is there a better way to introduce the subject of sexually transmitted disease?
1952,"   Is there anything new in terms of nonsurgical treatment for spinal stenosis? Constriction, Pathologic Spinal Stenosis ",   Is there anything new in terms of nonsurgical treatment for spinal stenosis?
1953,"   Is there anything new in terms of nonsurgical treatment for spinal stenosis? Constriction, Pathologic Spinal Stenosis ",   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
1954,   Should we get a chest x-ray because this is the third antibiotic I've tried for this persistent cough?  But she has lots of stress due to interracial marriage et cetera. Fibrosis Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis ,   Should we get chest x-ray because this is third antibiotic I've tried for this persistent cough?
1955,   Should we get a chest x-ray because this is the third antibiotic I've tried for this persistent cough?  But she has lots of stress due to interracial marriage et cetera. Fibrosis Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis ,   What are the indications for getting a digoxin level?
1956,"   15-year-old girl I saw yesterday with vomiting and syncopal episode.  Urinalysis showed 4+ glucose, blood sugar approximately 160.  Today oral glucose tolerance test approximately 100, 230, 220, 190, 150.  What action do we take now?  Is this a kid you would start getting Glucometer readings on? Vomiting Postoperative Nausea and Vomiting ","   Urinalysis shows 4+ glucose, blood sugar approximately 160. Oral glucose tolerance test approximately 100, 230, 220, 190, 150. What action do we take now?"
1957,"   15-year-old girl I saw yesterday with vomiting and syncopal episode.  Urinalysis showed 4+ glucose, blood sugar approximately 160.  Today oral glucose tolerance test approximately 100, 230, 220, 190, 150.  What action do we take now?  Is this a kid you would start getting Glucometer readings on? Vomiting Postoperative Nausea and Vomiting ",   Probably a normal 18 month old but how many respiratory infections are normal?
1958,   76-year-old woman with dyspnea for 3 to 4 days.  History of congestive heart failure.  On digoxin and Accupril.  Lungs clear.  Is there something else going on besides congestive heart failure? Dyspnea Heart Failure ,   Is there something else going on besides congestive heart failure?
1959,   76-year-old woman with dyspnea for 3 to 4 days.  History of congestive heart failure.  On digoxin and Accupril.  Lungs clear.  Is there something else going on besides congestive heart failure? Dyspnea Heart Failure ,   What is the dose of Famvir?
1960,"   Elderly woman came in this week with the odor of urine.  Has diabetes and arthritis.  Lives with grandson who is retarded.  Is this elder abuse?  What do you do about this? Arthritis Arthritis, Rheumatoid Diabetes Mellitus, Type 2 Diabetes Mellitus ","   Elderly woman, odor of urine. Lives with retarded grandson. Is this elder abuse?"
1961,"   Elderly woman came in this week with the odor of urine.  Has diabetes and arthritis.  Lives with grandson who is retarded.  Is this elder abuse?  What do you do about this? Arthritis Arthritis, Rheumatoid Diabetes Mellitus, Type 2 Diabetes Mellitus ",   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
1962,"   I have a frustrated woman who insists on having surgery for a normal gall bladder.  Oral cholecystogram and ultrasound were normal.  Complains of right-upper-quadrant pain and bloating.  Surgeon did esophagogastroduodenoscopy which was normal and recommended cholecystectomy.  Where do we go from here?  Get second opinion? Pain, Postoperative ",   Frustrated woman insists on surgery for normal gallbladder. Where do we go from here?
1963,"   I have a frustrated woman who insists on having surgery for a normal gall bladder.  Oral cholecystogram and ultrasound were normal.  Complains of right-upper-quadrant pain and bloating.  Surgeon did esophagogastroduodenoscopy which was normal and recommended cholecystectomy.  Where do we go from here?  Get second opinion? Pain, Postoperative ",   What is the dose of Neurontin?
1964,   Patient on Estrace.  What is the equivalent dose of Premarin? ,   Patient on Estrace.  What is the equivalent dose of Premarin?
1965,   Patient on Estrace.  What is the equivalent dose of Premarin? ,   How should I treat polymenorrhea in a 14-year-old girl?
1966,   Patient here for temporal arteritis.  Her sedimentation rate has not come down with the current dose of prednisone.  Do I need to push the prednisone harder? Polymyalgia Rheumatica Giant Cell Arteritis Arteritis Giant Cell Arteritis ,   Temporal arteritis. Erythrocyte sedimentation rate still high. Do I need to push the prednisone harder?
1967,   Patient here for temporal arteritis.  Her sedimentation rate has not come down with the current dose of prednisone.  Do I need to push the prednisone harder? Polymyalgia Rheumatica Giant Cell Arteritis Arteritis Giant Cell Arteritis ,   What size pills does digoxin come in?
1968,   I'd like to know what causes labyrinthitis and I'd like to know a good treatment for it too. ,   I'd like to know what causes labyrinthitis and a good treatment for it too.
1969,   I'd like to know what causes labyrinthitis and I'd like to know a good treatment for it too. ,   How do you use Redux?  What are the indications?
1970,"   Status post recent coronary angioplasty.  If he can bring his lipids into order with diet alone, is that satisfactory or based on the evidence, should he be started right off on the lipid drugs? ",   Status post coronary angioplasty. Okay to bring lipids down with diet only or start drugs right off?
1971,"   Status post recent coronary angioplasty.  If he can bring his lipids into order with diet alone, is that satisfactory or based on the evidence, should he be started right off on the lipid drugs? ",   What is the maximum dose of atenolol?
1972,   I'll try this patient on Niacin and LoCholest (cholestyramine resine).  I'm sure there are no contraindications or interactions -- I just don't know if it will be effective. ,   Will start niacin and LoCholest (cholestyramine resine). I just don't know if it will be effective.
1973,   I'll try this patient on Niacin and LoCholest (cholestyramine resine).  I'm sure there are no contraindications or interactions -- I just don't know if it will be effective. ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
1974,   Is there a dietary change or herbal medication that would prevent prostate cancer (patient asked him to help his son)? Prostatic Neoplasms ,   Is there a diet or herb to prevent prostate cancer (patient asked him to help his son)?
1975,   Is there a dietary change or herbal medication that would prevent prostate cancer (patient asked him to help his son)? Prostatic Neoplasms ,"   What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)"
1976,   What is a nerve sparing prostatectomy? ,   What is a nerve sparing prostatectomy?
1977,"   What is the dose of amoxicillin in this 5-month-old who weighs 14lbs, 12oz? ","   What is the dose of amoxicillin in this 5-month-old who weighs 14 pounds, 12 ounces?"
1978,"   What is the dose of amoxicillin in this 5-month-old who weighs 14lbs, 12oz? ",   Why did she get Coccidiomycosis?
1979,"   Diabetic with orthostatic hypotension.  Secondary to autonomic neuropathy?  Was hypertensive but I've been gradually decreasing hypertensive medications.  When do you start Florinef and how do you start it and how do you monitor it? Hypotension Hypotension, Orthostatic Retinal Diseases Diabetic Retinopathy ","   Diabetic, orthostatic hypotension. When do you start Florinef?"
1980,"   Diabetic with orthostatic hypotension.  Secondary to autonomic neuropathy?  Was hypertensive but I've been gradually decreasing hypertensive medications.  When do you start Florinef and how do you start it and how do you monitor it? Hypotension Hypotension, Orthostatic Retinal Diseases Diabetic Retinopathy ",   Can testes not being in the scrotum come from just being tense?
1981,   What is the dose of Zithromax for this 35-kilogram kid? ,   What is the dose of Zithromax for this 35-kilogram kid?
1982,   What is the dose of Zithromax for this 35-kilogram kid? ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
1983,   Nurse walked into his office to see what her laboratory work showed.  She's on both Cytomel and Synthroid.  Her thyroid stimulating hormone is slightly high.  Is Cytomel T3 (triiodothyronine) or T4 (thyroxine)? ,   On both Cytomel and Synthroid. Thyroid stimulating hormone is slightly high.  Is Cytomel T3 (triiodothyronine) or T4 (thyroxine)?
1984,   Nurse walked into his office to see what her laboratory work showed.  She's on both Cytomel and Synthroid.  Her thyroid stimulating hormone is slightly high.  Is Cytomel T3 (triiodothyronine) or T4 (thyroxine)? ,   What antibiotic should I use for this diabetic patient's infected foot ulcer?
1985,   Is Sudafed a problem with breast feeding? Hypotension ,   Is Sudafed a problem with breast feeding?
1986,   Is Sudafed a problem with breast feeding? Hypotension ,   At what ages should you do a Denver Developmental Screening Test?
1987,   Has a Pseudomonas urinary tract infection sensitive to Cipro but no other oral drugs (in nursing home).  Had a Foley catheter but now out.  Should I add another antibiotic to the Cipro (use 2 drugs)? Infection Communicable Diseases Urinary Tract Infections Pseudomonas Infections ,"   Pseudomonas urinary tract infection sensitive to Cipro, no other oral drugs. Should I add a second antibiotic?"
1988,   Has a Pseudomonas urinary tract infection sensitive to Cipro but no other oral drugs (in nursing home).  Had a Foley catheter but now out.  Should I add another antibiotic to the Cipro (use 2 drugs)? Infection Communicable Diseases Urinary Tract Infections Pseudomonas Infections ,   What is Legatrin?
1989,"   Immunocompromised woman with yeast vaginitis now at tertiary center.  Phone call from allergy fellow.  ""Is itraconazole an oral tablet?  How is that given? Hypersensitivity Vaginitis ",   Is itraconazole an oral tablet?  How is that given?
1990,"   Immunocompromised woman with yeast vaginitis now at tertiary center.  Phone call from allergy fellow.  ""Is itraconazole an oral tablet?  How is that given? Hypersensitivity Vaginitis ",   Let's give these immunizations.  That's right isn't it?
1991,"   Same immunocompromised woman had pulmonary embolus, smoker, on oral contraceptives.  If her chest pain progresses and she comes in, would another VQ (ventilation-perfusion) scan be helpful or is that always going to be abnormal for her? Chest Pain Embolism Pulmonary Embolism ","   If chest pain progresses and she comes in, would another VQ (ventilation-perfusion) scan be helpful?"
1992,"   Same immunocompromised woman had pulmonary embolus, smoker, on oral contraceptives.  If her chest pain progresses and she comes in, would another VQ (ventilation-perfusion) scan be helpful or is that always going to be abnormal for her? Chest Pain Embolism Pulmonary Embolism ",   I wonder if this patient could have a rotator cuff thing?
1993,   12-year-old boy on Ritalin has an elevated alkaline phosphatase (approximately 360 with normal 30 to 325) and phosphorus (approximately 6.0 with normal 2.3 to 4.6).  I'm not sure if Ritalin can cause that or what can cause it. ,"   12-year-old on Ritalin, elevated alkaline phosphatase (approximately 360, normal 30 to 325), phosphorus (approximately 6.0, normal 2.3 to 4.6). Cause?"
1994,   12-year-old boy on Ritalin has an elevated alkaline phosphatase (approximately 360 with normal 30 to 325) and phosphorus (approximately 6.0 with normal 2.3 to 4.6).  I'm not sure if Ritalin can cause that or what can cause it. ,   Should we do a head CT (computerized tomography) with contrast tomorrow (Saturday) or MRI (magnetic resonance imaging) Monday?
1995,   What is the name of that dimple in the lower back in infants that can be a sign of spina bifida? Spinal Dysraphism Spina Bifida ,"   What is the name of the dimple in the lower back in infants, sign of spina bifida?"
1996,   What is the name of that dimple in the lower back in infants that can be a sign of spina bifida? Spinal Dysraphism Spina Bifida ,   Should I wait until baby certain age before I do renal ultrasound for single umbilical artery?
1997,"   Are there any drug interactions with St. John's wort, specifically with selective-serotonin-reuptake inhibitors? ","   Are there any drug interactions with St. John's wort, specifically with selective-serotonin-reuptake inhibitors?"
1998,"   Are there any drug interactions with St. John's wort, specifically with selective-serotonin-reuptake inhibitors? ",   How do you use Redux?  What are the indications?
1999,   What is causing her anemia? Anemia ,   What is causing her anemia?
2000,   What is causing her anemia? Anemia ,   How to differentiate between a common cold and bacterial sinusitis?
2001,   Morbidly obese (388 pounds).  Eats a lot.  Had a piece of pie before clinic visit so can't have blood work today.   Is there something about the patient's sugar that makes him eat so much and is this (overeating) typical of other or all overweight people? ,   Obese (388 pounds). Is there something about patient's blood sugar that makes him eat so much?
2002,   Morbidly obese (388 pounds).  Eats a lot.  Had a piece of pie before clinic visit so can't have blood work today.   Is there something about the patient's sugar that makes him eat so much and is this (overeating) typical of other or all overweight people? ,   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
2003,   Does breast feeding affect diabetic control?  Patient says her sugars are dropping and wonders if it is breast feeding that is influencing this.  Also needing to use her glasses more. Retinal Diseases Diabetic Retinopathy ,   Does breast feeding affect diabetic control?
2004,   Does breast feeding affect diabetic control?  Patient says her sugars are dropping and wonders if it is breast feeding that is influencing this.  Also needing to use her glasses more. Retinal Diseases Diabetic Retinopathy ,"   What to do with this patient, biopsy shows carcinoma in situ of the vulva?"
2005,"   What is the effect of Relafen on this patient who is on Coumadin for atrial fibrillation (also has congestive heart failure, arthritis)? Atrial Fibrillation Arthritis Arthritis, Rheumatoid Heart Failure ",   What is the effect of Relafen on this patient who is on Coumadin for atrial fibrillation?
2006,"   What is the effect of Relafen on this patient who is on Coumadin for atrial fibrillation (also has congestive heart failure, arthritis)? Atrial Fibrillation Arthritis Arthritis, Rheumatoid Heart Failure ",   What is the dose of Sporanox?
2007,"   What are the interactions of the new antidepressant Remeron with other gastrointestinal and migraine drugs patient is taking for Crohn's and migraine (Midrin, Fiorinal, Zantac)? Migraine Disorders Migraine Disorders Headache Crohn Disease ",   What are interactions of Remeron with other gastrointestinal and migraine drugs patient is taking?
2008,"   What are the interactions of the new antidepressant Remeron with other gastrointestinal and migraine drugs patient is taking for Crohn's and migraine (Midrin, Fiorinal, Zantac)? Migraine Disorders Migraine Disorders Headache Crohn Disease ",   Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?
2009,"   What is causing her right-lower-quadrant pain (severe sharp pain)? Pain, Postoperative ",   What is causing her right-lower-quadrant pain (severe sharp pain)?
2010,"   What is causing her right-lower-quadrant pain (severe sharp pain)? Pain, Postoperative ",   How should I workup this baby with a single umbilical artery?
2011,   What type of drug (what class of drug) is Baclofen? ,   What type of drug (what class of drug) is Baclofen?
2012,   What cough suppressant contains dextromethorphan but is prescription and is covered by Title XIX? Fibrosis Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis ,   What cough suppressant contains dextromethorphan and is covered by Title XIX?
2013,   What cough suppressant contains dextromethorphan but is prescription and is covered by Title XIX? Fibrosis Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis ,   How should I treat polymenorrhea in a 14-year-old girl?
2014,   Is there a recommendation to put people on hormones (hormone replacement therapy) if they haven't been on them for 10-15 years?  There are quite a few patients I don't see at menopause but they come in their 60's. ,   Is there a recommendation to put people on hormone replacement therapy if they haven't been on them for 10-15 years?
2015,   Is there a recommendation to put people on hormones (hormone replacement therapy) if they haven't been on them for 10-15 years?  There are quite a few patients I don't see at menopause but they come in their 60's. ,   I wonder if this patient could have a rotator cuff thing?
2016,   Is Zoloft 100 milligrams scored? ,   Is Zoloft 100 milligrams scored?
2017,   Is Zoloft 100 milligrams scored? ,   How should I treat polymenorrhea in a 14-year-old girl?
2018,   Is it okay to say I completely don't know?  I don't know what this rash is.  We've tried changing detergents.  Goes away with prednisone but comes right back.  Comes with pressure but doesn't look like urticaria. Exanthema Urticaria ,   Is it okay to say I completely don't know?  I don't know what this rash is.
2019,   Is it okay to say I completely don't know?  I don't know what this rash is.  We've tried changing detergents.  Goes away with prednisone but comes right back.  Comes with pressure but doesn't look like urticaria. Exanthema Urticaria ,   How long after giving the digoxin dose before you get a digoxin level?
2020,   What is the maximum dose of Ritalin in an adult? ,   What is the maximum dose of Ritalin in an adult?
2021,   What is the maximum dose of Ritalin in an adult? ,   Why did she get Coccidiomycosis?
2022,"   I wanted to prescribe Lotrimin 1%.  The pharmacist said ""Do you mean 2%,"" implying that's the only strength it came in.  I thought it came in 1% but I had to look it up to be sure. ",   Wanted to prescribe Lotrimin 1%. I had to look it up to see if it came in that strength.
2023,"   What to do for cough of 2 1/2 weeks duration?  Have tried antibiotics, Proventil, antihistamines, prednisone.  Nothing has worked. Fibrosis Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis ",   What to do for this cough of 2 1/2 weeks duration?
2024,"   What to do for cough of 2 1/2 weeks duration?  Have tried antibiotics, Proventil, antihistamines, prednisone.  Nothing has worked. Fibrosis Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis ",   Unexpected thrombocytopenia -- What to do with it? Sat in courier's car awhile.
2025,   What is the most effective remedy for ear wax? ,   What is the most effective remedy for ear wax?
2026,"   How do you tell if a patient is having a bronchospasm if they don't wheeze? Respiratory Sounds Fibrosis Cystic Fibrosis Bronchial Spasm Asthma, Exercise-Induced Cystic Fibrosis ",   How do you tell if a patient is having a bronchospasm if they don't wheeze?
2027,"   How do you tell if a patient is having a bronchospasm if they don't wheeze? Respiratory Sounds Fibrosis Cystic Fibrosis Bronchial Spasm Asthma, Exercise-Induced Cystic Fibrosis ",   Do you need to do a tuberculin skin test to rule out tuberculosis in a patient with hemoptysis and a negative chest x-ray?
2028,   Does treating versus not treating streptococcal sore throat prevent poststreptococcal glomerulonephritis? Pharyngitis Glomerulonephritis Glomerulonephritis ,   Does treating streptococcal sore throat prevent poststreptococcal glomerulonephritis?
2029,   Does treating versus not treating streptococcal sore throat prevent poststreptococcal glomerulonephritis? Pharyngitis Glomerulonephritis Glomerulonephritis ,"   Is Serzone okay to give to with a partial gastrectomy; that is, will it be absorbed?"
2030,   What is the significance of a 1 centimeter anterior fontanelle in a 4-month old? Heart Arrest ,   What is the significance of a one-centimeter anterior fontanelle in a four-month old?
2031,   What is the significance of a 1 centimeter anterior fontanelle in a 4-month old? Heart Arrest ,   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
2032,"   Should you use prophylactic antibiotics for an open fracture of the distal phalanx of the finger?  (which one, how long) Periprosthetic Fractures Fractures, Bone Femoral Fractures ",   Should you use prophylactic antibiotics for an open fracture of the distal phalanx of the finger?
2033,   What is the definition of alcoholism? Alcoholism ,   What is the definition of alcoholism?
2034,   What is the definition of alcoholism? Alcoholism ,   How should I treat polymenorrhea in a 14-year-old girl?
2035,   How do you work someone up for a hypercoagulable state?  (Prompted by woman with two deep vein thromboses in the past) Thrombophilia Thrombosis ,   How do you work someone up for a hypercoagulable state?
2036,   Captopril has some side effect that other angiotensin converting enzyme inhibitors don't have that made me think I should be using enalapril more.  What was the side effect?  (Maybe it was just that enalapril has a longer duration of action.) ,   What side effect does captopril have that other angiotensin converting enzyme inhibitors don't have?
2037,   Captopril has some side effect that other angiotensin converting enzyme inhibitors don't have that made me think I should be using enalapril more.  What was the side effect?  (Maybe it was just that enalapril has a longer duration of action.) ,"   What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)"
2038,   What is the differential diagnosis of raised red papules on the posterior scalp in a 48-year-old man? ,   What is the differential diagnosis of raised red papules on the posterior scalp?
2039,   What is the differential diagnosis of raised red papules on the posterior scalp in a 48-year-old man? ,"   Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?"
2040,   How far forward is it normal for a coccyx to be angulated forward?  The patient's coccyx was acutely angled forward after a fall (&lt; 90 degrees). ,   How far forward is it normal for a coccyx to be angulated forward?
2041,   How far forward is it normal for a coccyx to be angulated forward?  The patient's coccyx was acutely angled forward after a fall (&lt; 90 degrees). ,   How should I treat polymenorrhea in a 14-year-old girl?
2042,"   Do brown recluse spiders live as far north as Red Oak, Iowa? ","   Do brown recluse spiders live as far north as Red Oak, Iowa?"
2043,"   How do you interpret different ankle/brachial blood pressure indices?  What's bad, what's normal, is there a cutoff ratio for considering surgery? ",   How do you interpret different ankle/brachial blood pressure indices?
2044,"   How do you interpret different ankle/brachial blood pressure indices?  What's bad, what's normal, is there a cutoff ratio for considering surgery? ",   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
2045,"   What is the procedure of choice to diagnose gallbladder disease -- not just stones, but nonfunction too -- ultrasound, oral cholecystogram,  CT (computed tomogram)? Cholecystitis Gallbladder Diseases Acalculous Cholecystitis Choledocholithiasis Cholecystitis ",   What is the best imaging test to diagnose gallbladder disease?
2046,"   What is the procedure of choice to diagnose gallbladder disease -- not just stones, but nonfunction too -- ultrasound, oral cholecystogram,  CT (computed tomogram)? Cholecystitis Gallbladder Diseases Acalculous Cholecystitis Choledocholithiasis Cholecystitis ",   Why did she get Coccidiomycosis?
2047,   Where is the ascending pharyngeal artery?  (Prompted by a patient with a pulsating posterior pharyngeal mass) ,   Where is the ascending pharyngeal artery?
2048,"   What should you do about borderline elevated AST (aspartate aminotransferase -- 54 (0 - 41) and ALT (alanine aminotransferase) -- 48 (0 - 45)?  (on a chemistry panel, unexpected) ",   What should you do about borderline elevated AST (aspartate aminotransferase) and ALT (alanine aminotransferase)?
2049,"   What should you do about borderline elevated AST (aspartate aminotransferase -- 54 (0 - 41) and ALT (alanine aminotransferase) -- 48 (0 - 45)?  (on a chemistry panel, unexpected) ",   Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?
2050,   What are the causes of a spontaneous pneumothorax in a 25-year-old female smoker? Wounds and Injuries Pneumothorax ,   What are the causes of a spontaneous pneumothorax?
2051,   What are the causes of a spontaneous pneumothorax in a 25-year-old female smoker? Wounds and Injuries Pneumothorax ,   Let's give these immunizations.  That's right isn't it?
2052,"   What is the protein you can test to see if someone has type 1 or type 2 diabetes? Diabetes Mellitus, Type 2 Diabetes Mellitus ",   What is the protein you can test to see if someone has type 1 or type 2 diabetes?
2053,"   What is the protein you can test to see if someone has type 1 or type 2 diabetes? Diabetes Mellitus, Type 2 Diabetes Mellitus ",   What is the best GI (gastrointestinal) cocktail to give and the necessary proportions and dosage?
2054,"   What are the causes of and how do you work up a chronic cough in a 50-year-old obese woman?  (yellow sputum, one pack per month, possibly Pickwickian) Fibrosis Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis ",   How do you work up a chronic cough in an adult?
2055,"   What are the causes of and how do you work up a chronic cough in a 50-year-old obese woman?  (yellow sputum, one pack per month, possibly Pickwickian) Fibrosis Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis Idiopathic Pulmonary Fibrosis ",   Alcoholic patient in hospital for withdrawal. What day do the seizures usually come?
2056,   What are the causes of and how do you work up a 50-year-old man (or 43-year-old woman) with chronic generalized lymphadenopathy? Lymphadenopathy Lymphatic Diseases ,   How do you work up an adult with chronic generalized lymphadenopathy?
2057,   What are the causes of and how do you work up a 50-year-old man (or 43-year-old woman) with chronic generalized lymphadenopathy? Lymphadenopathy Lymphatic Diseases ,   What is the incubation period of influenza A?
2058,   What is flumazenil?  It's supposed to be a benzodiazepine reverser. ,   What is flumazenil)?
2059,"   What is the trade name of ceftazidime?  What generation cephalosporin is it?  Is it a good treatment for COPD (chronic obstructive pulmonary disease) exacerbation? Lung Diseases Lung Diseases, Obstructive Pulmonary Disease, Chronic Obstructive Lung Diseases Lung Diseases, Obstructive Pulmonary Disease, Chronic Obstructive ",   What is the trade name of ceftazidime?
2060,   What is the drug of choice for inpatient treatment of pelvic inflammatory disease?  Is cefotetan and oral doxycycline adequate treatment? Pelvic Inflammatory Disease Pelvic Infection ,   What is the drug of choice for inpatient treatment of pelvic inflammatory disease?
2061,   What is the drug of choice for inpatient treatment of pelvic inflammatory disease?  Is cefotetan and oral doxycycline adequate treatment? Pelvic Inflammatory Disease Pelvic Infection ,   How should I treat polymenorrhea in a 14-year-old girl?
2062,   Does oral iron therapy affect the guaiac card result? ,   Does oral iron therapy affect the guaiac card result?
2063,   Does oral iron therapy affect the guaiac card result? ,   What is the dose of Famvir?
2064,   What does a right ventricle or right-sided myocardial infarction look like on the electrocardiogram? Myocardial Infarction Infarction ,   What does a right ventricle myocardial infarction look like on the electrocardiogram?
2065,   What does a right ventricle or right-sided myocardial infarction look like on the electrocardiogram? Myocardial Infarction Infarction ,   Should we switch to Ancef for this diabetic foot ulcer? Improvement adequate?
2066,"   Is keratoconus hereditary? Ichthyosis Ichthyosis, Lamellar ",   Is keratoconus hereditary?
2067,   Does Zantac (ranitidine) affect iron absorption? ,   Does Zantac (ranitidine) affect iron absorption?
2068,   Does Zantac (ranitidine) affect iron absorption? ,   What is the cause and treatment of this old man's stomatitis?
2069,"   What is the new recommended dose of metronidazole for bacterial vaginosis just reported in the New England Journal of Medicine? Vaginal Diseases Vaginosis, Bacterial ",   What is the dose of metronidazole for bacterial vaginosis?
2070,"   What is the new recommended dose of metronidazole for bacterial vaginosis just reported in the New England Journal of Medicine? Vaginal Diseases Vaginosis, Bacterial ",   How do you inject the bicipital tendon?
2071,   What is the best way to treat multiple plantar warts? Papilloma Warts ,   What is the best way to treat multiple plantar warts?
2072,   What is the best way to treat multiple plantar warts? Papilloma Warts ,   Is melatonin good for anything?  What is the dose?
2073,"   What is the ""dawn"" phenomenon and how do you know if someone has it? ","   What is the ""dawn"" phenomenon?"
2074,"   What is the ""dawn"" phenomenon and how do you know if someone has it? ","   Age 4 years, has had 2 bladder infections, just treat or workup for cause?"
2075,   What's the best way to dilate someone's eyes to examine the fundi? ,   What's the best way to dilate someone's eyes to examine the fundi?
2076,"   What is TCA (tetracaine, cocaine, alcohol)?  Is it effective and safe for topical anesthesia?  (also known as TAC) ","   What is TCA (tetracaine, cocaine, alcohol)?"
2077,"   What is TCA (tetracaine, cocaine, alcohol)?  Is it effective and safe for topical anesthesia?  (also known as TAC) ",   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
2078,   What does a classic growth curve look like for constitutional low weight and height in a child?  Can it start normally in infancy and then fall off? ,   What does the growth curve look like for constitutional low weight in a child?
2079,   Doctor X saw a 73-year-old woman with a history of sarcoidosis in 1957.  Patient wanted a follow-up chest x-ray.  What is the recommended follow-up for sarcoidosis? Sarcoidosis ,   What is the recommended follow-up for sarcoidosis?
2080,"   What antibiotic regimens and doses are available for prophylaxis of otitis media? Infection Communicable Diseases Otitis Otitis Externa Arthritis, Infectious ",   What antibiotic regimens are available for prophylaxis of otitis media?
2081,"   What antibiotic regimens and doses are available for prophylaxis of otitis media? Infection Communicable Diseases Otitis Otitis Externa Arthritis, Infectious ",   What is the dose of Sporanox?
2082,   Is there such a thing as chronic compartment syndrome? Syndrome Compartment Syndromes Compartment Syndrome ,   Is there such a thing as chronic compartment syndrome?
2083,   What is the differential diagnosis of otalgia in someone with a normal ear exam? ,   What is the differential diagnosis of otalgia with a normal ear exam?
2084,   What is the differential diagnosis of otalgia in someone with a normal ear exam? ,   Young man with recurrent peptic ulcer disease; do vagotomy?  Will health maintenance organization pay?
2085,   A patient had biopsy proven human papillomavirus on her cervix.  How should you treat this?  How do you know when someone is cured so it's okay to have intercourse without a condom? ,   How should you treat human papillomavirus on the cervix?
2086,   A patient had biopsy proven human papillomavirus on her cervix.  How should you treat this?  How do you know when someone is cured so it's okay to have intercourse without a condom? ,   How should I treat polymenorrhea in a 14-year-old girl?
2087,   What are the causes of chronic perianal dermatitis in kids?  What is in Mycolog II cream? Syndrome Compartment Syndromes Compartment Syndrome ,   What are the causes of chronic perianal dermatitis in kids?
