chq,faq,Entities,labels
"   Patient in nursing home with Parkinson's.  How to make him more alert at breakfast?  His manner was much different this morning  -- usually asking to go home, today just stiff and not talking.  May be due to seeing him at different times.","
   How old is it still safe to give a woman birth control pills?
","[""Parkinson's.  How to make him more alert""]",0
Mother died at age 55 of colon cancer.  I will send her to the gastroenterologist for a colonoscopy ($1500).  I sometimes wonder whether to do this because it's so expensive versus a flexible sigmoidoscopy and barium enema which is cheaper but not as good.,"
   I sometimes wonder whether to refer for colonoscopy because it's so expensive.
","['colon cancer', 'barium']",1
Mother died at age 55 of colon cancer.  I will send her to the gastroenterologist for a colonoscopy ($1500).  I sometimes wonder whether to do this because it's so expensive versus a flexible sigmoidoscopy and barium enema which is cheaper but not as good.,"
   What are the indications for getting a digoxin level?
","['colon cancer', 'barium']",0
   Why would you use an alpha and beta blocker like Coreg for heart failure?,"
   Why would you use an alpha and beta blocker like Coreg for heart failure?
","['Coreg', 'heart failure']",1
   Why would you use an alpha and beta blocker like Coreg for heart failure?,"
   Is Serzone okay to give to with a partial gastrectomy; that is, will it be absorbed?
","['Coreg', 'heart failure']",0
   Multiple small ulcers on ankles and buttocks.  No history of bites.  I sent him for a complete blood count (CBC) and blood sugar but I don't know what these are.,"
   Multiple small ulcers on ankles and buttocks. I don't know what these are.
","['bites', 'ulcers', 'buttocks']",1
   Multiple small ulcers on ankles and buttocks.  No history of bites.  I sent him for a complete blood count (CBC) and blood sugar but I don't know what these are.,"
   What is the dose of Famvir?
","['bites', 'ulcers', 'buttocks']",0
What are the doses of long acting verapamil?  I know the short acting but the long acting is something like 80 or 120.,"
   What are the doses of long-acting verapamil?
",['verapamil'],1
   This woman with a burn wants a refill of SSD.  What does SSD stand for? (Turned out to be silver sulfadiazine.),"
   This woman with a burn wants a refill of SSD.  What is SSD? (Turned out to be silver sulfadiazine.)
","['burn', 'silver sulfadiazine']",1
   This man had a frontal unilateral (left) headache.  I thought he had frontal sinusitis but his computerized tomography (CT) was negative so now I don't know what he has.,"
   Left frontal headache. Thought frontal sinusitis but computerized tomography (CT) negative. Now don't know what he has.
","['headache', 'sinusitis']",1
   This man had a frontal unilateral (left) headache.  I thought he had frontal sinusitis but his computerized tomography (CT) was negative so now I don't know what he has.,"
   Is Valtrex appropriate and cost effective to treat chicken pox?
","['headache', 'sinusitis']",0
"What is the frequency of deviated septum, and if it is say 30%, how many of them have problems related to it?  This patient has had frequent sinus infections and is scheduled for surgery.","
   What is the frequency of deviated septum, and how many have problems related to it?  This patient has had frequent sinus infections and is scheduled for surgery.
",['sinus infections'],1
"What is the frequency of deviated septum, and if it is say 30%, how many of them have problems related to it?  This patient has had frequent sinus infections and is scheduled for surgery.",How should I treat polymenorrhea in a 14-year-old girl?,['sinus infections'],0
   What percentage of kids get fevers with teething and do the medical books agree with the mothers?,"
   What percentage of kids get fevers with teething?
",['fevers'],1
   What percentage of kids get fevers with teething and do the medical books agree with the mothers?,"
   Could Procardia or Mevacor cause tinnitus?
",['fevers'],0
   What percentage of patients gain a lot of weight on Depo-Provera?,"
   What percentage of patients gain a lot of weight on Depo-Provera?
",['Depo-Provera'],1
   What percentage of patients gain a lot of weight on Depo-Provera?,"
   What size pills does digoxin come in?
",['Depo-Provera'],0
   What is the incidence of dyspareunia after a vaginal wall cyst?  This was removed about a year ago by a gynecologist and for the past year she has had this problem.,"
   What is the incidence of dyspareunia after a vaginal wall cyst removal?
","['vaginal wall cyst', 'dyspareunia']",1
"What percentage of 3-year-olds toe in?  Family history in both parents, mother wore corrective shoes.",What percentage of 3-year-olds toe in?,[],1
"What percentage of 3-year-olds toe in?  Family history in both parents, mother wore corrective shoes.",Has had shingles for 4 days -- Can I still give Zovirax?,[],0
"   Ovarian stromal cyst removed by gynecologist.  They found, at that time, a ""streak"" ovary.  What is the etiology and embryonic development associated with this condition?","
   What is etiology and embryonic development of streak ovary?
",[],1
   Is it better to use prescription or over-the-counter Antivert?  Patient has a ten dollar co-pay.,Is it better to use prescription or over-the-counter Antivert?  Patient has a $10 co-pay.,[],1
   Is it better to use prescription or over-the-counter Antivert?  Patient has a ten dollar co-pay.,"
   How do you inject the bicipital tendon?
",[],0
There seems to be a lot of inconsistency in nutritional calcium information and this bothers Dr. X.  Why is this the case?  He does recommend 800 to 1200 milligram supplements and has a handout to give his patients.,"
   Lots of inconsistency in nutritional calcium information. Why is this the case?
",['calcium'],1
"   What is the cause of this recurrent rash?  This patient wants a ""cure"" for it.","
   What is the cause of this recurrent rash? This patient wants a ""cure"" for it.
",['rash'],1
"   What is the cause of this recurrent rash?  This patient wants a ""cure"" for it.",Are her headaches related to her elevated diastolic blood pressure (180/96)?,['rash'],0
What is causing her to be nauseated?  (Persistent nausea and some diarrhea.)  Could her anesthesia have caused this? (Had total knee replacement 4 to 6 weeks ago).,"
   What is causing her to be nauseated? Persistent nausea and some diarrhea.
","['diarrhea', 'nausea']",1
What is causing her to be nauseated?  (Persistent nausea and some diarrhea.)  Could her anesthesia have caused this? (Had total knee replacement 4 to 6 weeks ago).,"
   Patient with malignant melanoma; on pathology report, how to interpret Clark levels?
","['diarrhea', 'nausea']",0
How often should this patient need a pneumonia vaccine?  Her last one was in 1993.,How often should this patient need a pneumonia vaccine?  Her last one was in 1993.,['pneumonia'],1
How often should this patient need a pneumonia vaccine?  Her last one was in 1993.,"
   How do you use Redux?  What are the indications?
",['pneumonia'],0
"Is there another way to remove warts without scarring besides cryotherapy?  This 3/4 cm wart on the knee was treated 6 weeks ago with cryotherapy, now red and raised and possible keloid forming.","
   Is there another way to remove warts without scarring besides cryotherapy?
",['warts'],1
"Is there another way to remove warts without scarring besides cryotherapy?  This 3/4 cm wart on the knee was treated 6 weeks ago with cryotherapy, now red and raised and possible keloid forming.","
   Let's give these immunizations.  That's right isn't it?
",['warts'],0
   What is the best way to treat this perianal dermatitis with probably both a yeast and bacterial component?  Already on medications for yeast.,"
   What is the best way to treat this perianal dermatitis?
",['perianal dermatitis'],1
   What is the best way to treat this perianal dermatitis with probably both a yeast and bacterial component?  Already on medications for yeast.,"
   Why did she get Coccidiomycosis?
",['perianal dermatitis'],0
   Patient with a one-year history of infertility now has a miscarriage. Should an infertility workup be done?,"
   One-year history infertility now has miscarriage. Should an infertility workup be done?
","['infertility', 'miscarriage']",1
   Patient with a one-year history of infertility now has a miscarriage. Should an infertility workup be done?,"
   What are Betamol eye drops?
","['infertility', 'miscarriage']",0
"15-year-old boy with acne, tetracycline not working.  What should I try next that is cost effective?","15-year-old, acne, tetracycline not working.  What should I try next that is cost effective?","['acne', 'tetracycline']",1
"15-year-old boy with acne, tetracycline not working.  What should I try next that is cost effective?","
   Is melatonin good for anything?  What is the dose?
","['acne', 'tetracycline']",0
"   Does this woman with moon face, hair growth and buffalo hump have Cushing's Syndrome?  If cortisol levels are elevated, where do I go next?","
   Does this woman with moon face, hair growth and buffalo hump have Cushing's?
","['hump', ""Cushing's Syndrome"", 'cortisol']",1
"   Does this woman with moon face, hair growth and buffalo hump have Cushing's Syndrome?  If cortisol levels are elevated, where do I go next?","
   Patient not getting better from epicondylitis after physical therapy and nonsteroidal anti-inflammatory drugs; what to do?
","['hump', ""Cushing's Syndrome"", 'cortisol']",0
"   Saw this patient last week with headache and tender temporal artery.  Referred to ophthalmologist.  Sedimentation rate ""elevated.""  History of daughter having Bell's Palsy.  Is there an association between Bell's Palsy and headache and temporal artery tenderness?  Does Bell's Palsy cause an increased sedimentation rate?  Is Bell's Palsy familial?","
   Headache, tender temporal artery. Association between Bell's Palsy, headache, temporal artery tenderness?
","['temporal artery tenderness', 'headache']",1
"   Saw this patient last week with headache and tender temporal artery.  Referred to ophthalmologist.  Sedimentation rate ""elevated.""  History of daughter having Bell's Palsy.  Is there an association between Bell's Palsy and headache and temporal artery tenderness?  Does Bell's Palsy cause an increased sedimentation rate?  Is Bell's Palsy familial?","
   Let's give these immunizations.  That's right isn't it?
","['temporal artery tenderness', 'headache']",0
45-year-old woman with dysfunctional uterine bleeding.  What is the treatment?  I already tried Provera 10 milligrams every day.,45-year-old with dysfunctional uterine bleeding.  What is the treatment?  I already tried Provera 10 milligrams every day.,['dysfunctional uterine bleeding'],1
45-year-old woman with dysfunctional uterine bleeding.  What is the treatment?  I already tried Provera 10 milligrams every day.,"
   Is Serzone okay to give to with a partial gastrectomy; that is, will it be absorbed?
",['dysfunctional uterine bleeding'],0
This child has a lead level of 11.  What is the danger level of blood lead levels?,"Child, lead level of 11.  What is the danger level of blood lead levels?",[],1
This child has a lead level of 11.  What is the danger level of blood lead levels?,"
   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
",[],0
20-year-old woman wanted to know what her weight should be.  I remember she was 20 pounds overweight and was 5 feet 9 inches tall.,"20-year-old wanted to know what her weight should be. 20 pounds overweight, 5 feet 9 inches tall.",[],1
20-year-old woman wanted to know what her weight should be.  I remember she was 20 pounds overweight and was 5 feet 9 inches tall.,What are the doses of Solumedrol and Claforan for an 8-year-old female?,[],0
"45-year-old man with hypertension on Tenex.  Had questionable side effects including headache, fatigue, and lightheaded.  Are these really side effects of Tenex?","45-year-old with hypertension on Tenex. Headache, fatigue, lightheaded. Are these side effects of Tenex?","['hypertension', 'headache', 'fatigue']",1
"45-year-old man with hypertension on Tenex.  Had questionable side effects including headache, fatigue, and lightheaded.  Are these really side effects of Tenex?","
   After starting treatment for streptococcal sore throat, how long to stay out of work or school?
","['hypertension', 'headache', 'fatigue']",0
   Woman fractured her humerus. Has a history of desmoid tumors. What are desmoid tumors?,"
   Woman fractured her humerus. Has a history of desmoid tumors. What are desmoid tumors?
",['desmoid tumors'],1
   Woman fractured her humerus. Has a history of desmoid tumors. What are desmoid tumors?,"
   Let's give these immunizations.  That's right isn't it?
",['desmoid tumors'],0
How do you treat a base of the 5th metatarsal fracture?  Is a cast needed?,"
   How do you treat a base-of-the-fifth metatarsal fracture?  Is a cast needed?
",['fracture'],1
How do you treat a base of the 5th metatarsal fracture?  Is a cast needed?,"
   I wonder if this patient could have a rotator cuff thing?
",['fracture'],0
   Is it okay to use cervical traction in this woman with headaches and cervical arthritis and minimal instability on cervical spine films?,"
   Okay to use cervical traction, patient with headaches, cervical arthritis, minimal instability on x-ray?
","['headaches', 'arthritis']",1
   Is it okay to use cervical traction in this woman with headaches and cervical arthritis and minimal instability on cervical spine films?,How should I treat polymenorrhea in a 14-year-old girl?,"['headaches', 'arthritis']",0
   Is Prinivil the same thing as Zestril?  We have Prinivil samples.  She's on Zestril and doesn't have much money.,"
   Is Prinivil the same thing as Zestril?
",['Zestril'],1
   Is Prinivil the same thing as Zestril?  We have Prinivil samples.  She's on Zestril and doesn't have much money.,"
   I wonder if this patient could have a rotator cuff thing?
",['Zestril'],0
   Is this a fracture or a growth plate at the base of the fifth metatarsal (looking at x-ray)?,"
   Is this a fracture or a growth plate at the base of fifth metatarsal (looking at x-ray)?
",['fracture'],1
   Is this a fracture or a growth plate at the base of the fifth metatarsal (looking at x-ray)?,"
   Should I do an ultrasound to rule out an abdominal aortic aneurysm? Must be very rare in young female but should I?  Should you have pain when you push on the aorta?
",['fracture'],0
   What's the name of the fracture when you pull off a piece of bone with the ligament?,"
   What's the name of the fracture when you pull off a piece of bone with the ligament?
",['fracture'],1
   What's the name of the fracture when you pull off a piece of bone with the ligament?,"
   How do you use Redux?  What are the indications?
",['fracture'],0
What do you do with isolated hypertriglyceridemia (triglycerides = 271)?  Not high enough to cause pancreatitis but high.,What do you do with isolated hypertriglyceridemia (triglycerides = 271)?,"['hypertriglyceridemia', 'pancreatitis']",1
What do you do with isolated hypertriglyceridemia (triglycerides = 271)?  Not high enough to cause pancreatitis but high.,"
   What is a good source to teach residents to repair fourth-degree lacerations?
","['hypertriglyceridemia', 'pancreatitis']",0
"   She has no endocervical cells on Papanicolaou smears for two years in a row.  She has a family history of some type of female cancer and a history of abnormal Papanicolaou smears.  Her cervix is ""agglutinated.""  What should I do?",No endocervical cells for 2 years in a row. What should I do?,['cancer'],1
"   She has no endocervical cells on Papanicolaou smears for two years in a row.  She has a family history of some type of female cancer and a history of abnormal Papanicolaou smears.  Her cervix is ""agglutinated.""  What should I do?","
   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
",['cancer'],0
   How do you deal with a palpable thyroid nodule?  What's the workup and treatment?,"
   How do you deal with a palpable thyroid nodule?  What's the workup and treatment?
",[],1
   How do you deal with a palpable thyroid nodule?  What's the workup and treatment?,"
   What are New York Heart Association classes I - IV? Where to find explanation?
",[],0
   Patient's blood pressure is always elevated here in the office.  She also sees a cardiologist and blood pressure seems to be fine there so question is what is her blood pressure really?,"
   Blood pressure always elevated here. Blood pressure okay in cardiologist's office. What is her blood pressure really?
",[],1
   Patient's blood pressure is always elevated here in the office.  She also sees a cardiologist and blood pressure seems to be fine there so question is what is her blood pressure really?,"What is the maximum dose of digoxin? (patient seen in emergency room, had digoxin level less than 0.03)",[],0
   What is causing the heel pain?,"
   What is causing the heel pain?
",['heel pain'],1
   What is causing the heel pain?,"
   Patient, plate in hip, no murmur, needs subacute bacterial endocarditis prophylaxis before sees dentist?
",['heel pain'],0
   What is this rash in the axilla?  It is probably eczema but could also be fungal.,"
   What is this rash in the axilla? Probably eczema but could also be fungal.
","['rash', 'eczema', 'fungal']",1
   What is this rash in the axilla?  It is probably eczema but could also be fungal.,"
   How do you inject the bicipital tendon?
","['rash', 'eczema', 'fungal']",0
"   This patient needs to make life style changes and has the information.  How do you motivate someone to make these changes?  She comes in and cries but doesn't follow through on getting blood tests done, et cetera.","
   Patient needs to make life style changes and has the information. How do you motivate her?
","['cetera', 'someone', 'cries']",1
"   This patient needs to make life style changes and has the information.  How do you motivate someone to make these changes?  She comes in and cries but doesn't follow through on getting blood tests done, et cetera.","
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
","['cetera', 'someone', 'cries']",0
67-year-old woman with a normal workup for microscopic hematuria.  How often do they need follow up intravenous pyelogram and cystoscopy?  I assume we'll get a urinalysis every year.  Intravenous pyelogram and cystoscopy were recently normal.,"67-year-old, normal workup for microscopic hematuria. How often do they need follow-up intravenous pyelogram and cystoscopy?",['hematuria'],1
67-year-old woman with a normal workup for microscopic hematuria.  How often do they need follow up intravenous pyelogram and cystoscopy?  I assume we'll get a urinalysis every year.  Intravenous pyelogram and cystoscopy were recently normal.,"
   What is the cause and treatment of this old man's stomatitis?
",['hematuria'],0
What is the dose range of Klonopin?  Her chart says she's on 0.5.  Is that good or bad?,What is the dose range of Klonopin? She's on 0.5. Is that good or bad?,[],1
What is the dose range of Klonopin?  Her chart says she's on 0.5.  Is that good or bad?,How should I treat polymenorrhea in a 14-year-old girl?,[],0
"   A reference says you should monitor complete blood counts (CBCs) and liver functions when on Klonopin, but how often?","
   A reference says you should monitor complete blood count (CBC), liver function tests on Klonopin, but how often?
",[],1
"   A reference says you should monitor complete blood counts (CBCs) and liver functions when on Klonopin, but how often?",How should I treat polymenorrhea in a 14-year-old girl?,[],0
   What is a blue dome cyst?  Mother had blue dome cysts on her breasts.,"
   What is a blue dome cyst?  Mother had blue dome cysts on her breasts.
",[],1
   What is a blue dome cyst?  Mother had blue dome cysts on her breasts.,"
   I wonder if this patient could have a rotator cuff thing?
",[],0
   How long does labyrinthitis last?,"
   How long does labyrinthitis last?
",[],1
   How long does labyrinthitis last?,"
   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
",[],0
"   In this patient with probable labyrinthitis, what else do I need to check to make sure it's not something more serious?","
   Probable labyrinthitis, what else to check to be sure it's not more serious?
",[],1
"   In this patient with probable labyrinthitis, what else do I need to check to make sure it's not something more serious?","
   In patients with colds and coughs and hemoptysis, who should be worked up?
",[],0
   He has ear pain and I'm not sure of his diagnosis (temporomandibular joint syndrome versus external otitis).,"
   He has ear pain and I'm not sure of his diagnosis (question temporomandibular joint syndrome versus external otitis)
","['pain', 'temporomandibular joint syndrome', 'external otitis']",1
   He has ear pain and I'm not sure of his diagnosis (temporomandibular joint syndrome versus external otitis).,"
   Should I wait until baby certain age before I do renal ultrasound for single umbilical artery?
","['pain', 'temporomandibular joint syndrome', 'external otitis']",0
At what age do other doctors stop doing various screening tests?  I had an 80-year-old man yesterday who wanted a prostate specific antigen and I couldn't convince him that he didn't need one.  Also screening for high cholesterol and is there an age that you don't need to treat it anymore?  Same with Pap smears.,"
   At what age do other doctors stop doing various screening tests?
",['cholesterol'],1
At what age do other doctors stop doing various screening tests?  I had an 80-year-old man yesterday who wanted a prostate specific antigen and I couldn't convince him that he didn't need one.  Also screening for high cholesterol and is there an age that you don't need to treat it anymore?  Same with Pap smears.,"
   Patient with diarrhea.  What is Endolimax nana (on stool sample) and should you treat it?
",['cholesterol'],0
   When does the incidence of Sudden Infant Death Syndrome (SIDS) go down (at what age)?  I have a mother who is just paranoid.  She has the monitor turned up so loud she can hear the baby breathing.  Obviously she's not getting good sleep.,"
   When does the incidence of sudden-infant-death syndrome go down (at what age)?
","['SIDS', 'Death']",1
   What is the dose of Tapazole?  This patient has a history of hyperthyroidism with Graves disease and hadn't taken anything for awhile.  Thyroid level is elevated.,"
   What is the dose of Tapazole?
","['Tapazole', 'Graves disease', 'hyperthyroidism', 'awhile']",1
   What is the dose of Tapazole?  This patient has a history of hyperthyroidism with Graves disease and hadn't taken anything for awhile.  Thyroid level is elevated.,How should I treat polymenorrhea in a 14-year-old girl?,"['Tapazole', 'Graves disease', 'hyperthyroidism', 'awhile']",0
"Only symptom is tenderness along lateral neck muscles.  Temp 102 yesterday, none now.  Ears, throat, et cetera normal.  She must be coming down with something but I don't know what she has at this point.",Tender lateral neck. Temperature 102. Must be coming down with something. What?,"['throat', 'cetera', 'tenderness', 'Temp 102 yesterday']",1
"Only symptom is tenderness along lateral neck muscles.  Temp 102 yesterday, none now.  Ears, throat, et cetera normal.  She must be coming down with something but I don't know what she has at this point.","
   What is the dose of azathioprine (Imuran)?
","['throat', 'cetera', 'tenderness', 'Temp 102 yesterday']",0
   This patient is overweight and has been for years and won't do anything to lose weight.  She is on so many medications which I try to get her off of.  What can you do?,"
   Overweight, won't do anything to lose. What can you do?
",[],1
   This patient is overweight and has been for years and won't do anything to lose weight.  She is on so many medications which I try to get her off of.  What can you do?,"
   What size pills does digoxin come in?
",[],0
   What is the least expensive cholesterol lowering drug?  Dr. X usually uses Pravachol and Mevacor but they are expensive so thought he'd try Lescol.,"
   What is the least expensive cholesterol-lowering drug?
",['cholesterol'],1
   What is the least expensive cholesterol lowering drug?  Dr. X usually uses Pravachol and Mevacor but they are expensive so thought he'd try Lescol.,"
   Nine-year-old girl was at Wacky Waters, clear vesicles on hands, what is it?
",['cholesterol'],0
   What is the dose of PremPro?,"
   What is the dose of PremPro?
",[],1
   What is the dose of PremPro?,"
   Patient reluctant to take medication. How to control hypertension and still get her cooperation?
",[],0
Patient with history of 1 week of treatment for addiction.  Patient says her counselor told her Buspar is not addictive.  Is that correct?,"
   Patient says her counselor told her Buspar is not addictive.  Is that correct?
",[],1
   Patient in correctional institution (also alcohol treatment facility) with positive Mantoux and negative chest x-ray.  Does he need isoniazid and what is the procedure to report this?,"
   Positive Mantoux, negative chest x-ray. Does he need isoniazid and how to report this?
","['isoniazid', 'alcohol']",1
   Patient in correctional institution (also alcohol treatment facility) with positive Mantoux and negative chest x-ray.  Does he need isoniazid and what is the procedure to report this?,"
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
","['isoniazid', 'alcohol']",0
   How much estrogen can a woman be on without being too much?,"
   How much estrogen can a woman be on without being too much?
",['estrogen'],1
   How much estrogen can a woman be on without being too much?,"
   Why did she get Coccidiomycosis?
",['estrogen'],0
   What are some practical solutions to decreasing stress in one's life besides exercise -- not medications -- more along the line of relaxation type things?,"
   What are some practical solutions to decreasing stress in one's life?
",[],1
   What are some practical solutions to decreasing stress in one's life besides exercise -- not medications -- more along the line of relaxation type things?,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
",[],0
What causes loss of the suprasternal notch?  She has no borders or definition to her suprasternal notch.  She noticed this 9 months ago.,"
   What causes loss of the suprasternal notch?
",[],1
   How many family physicians are giving Hepatitis B vaccine to their teenagers?,"
   How many family physicians are giving Hepatitis B vaccine to their teenagers?
",['Hepatitis B'],1
   How many family physicians are giving Hepatitis B vaccine to their teenagers?,How should I treat polymenorrhea in a 14-year-old girl?,['Hepatitis B'],0
   How long is it safe to be on phentermine alone?,"
   How long is it safe to be on phentermine alone?
",['phentermine'],1
   How long is it safe to be on phentermine alone?,How should I treat polymenorrhea in a 14-year-old girl?,['phentermine'],0
   What would cause coccyx pain with no history of injury?  X-ray last time showed coccyx deviated to left.,"
   What would cause coccyx pain with no history of injury?
",['coccyx pain'],1
   What would cause coccyx pain with no history of injury?  X-ray last time showed coccyx deviated to left.,"
   Is there a better way to introduce the subject of sexually transmitted disease?
",['coccyx pain'],0
   What is the success rate for drug treatment for onychomycosis?,"
   What is the success rate for drug treatment of onychomycosis?
",['onychomycosis'],1
   What is the success rate for drug treatment for onychomycosis?,"
   Patient with confusion and dementia in emergency room, now better. Get head computerized tomography (CT) now or observe?
",['onychomycosis'],0
   Patient here for preoperative physical for coronary artery bypass graft.  Can I change her Synthroid dose a week before her cardiac surgery?,"
   Preoperative physical exam (coronary artery bypass graft). Can I change Synthroid dose a week before cardiac surgery?
",[],1
   Should I use Serevent in association with her heart medications which include a beta blocker.  Will her heart medications need to be adjusted?  Dr. X aware of known concerns about Serevent in these patients.,"
   Use Serevent with beta blocker? Will her heart medications need to be adjusted?
",[],1
   Should I use Serevent in association with her heart medications which include a beta blocker.  Will her heart medications need to be adjusted?  Dr. X aware of known concerns about Serevent in these patients.,How should I treat polymenorrhea in a 14-year-old girl?,[],0
   Is her asthma cardiac asthma?,"
   Is her asthma cardiac asthma?
",['asthma cardiac asthma'],1
   Is her asthma cardiac asthma?,"
   What is the cause and treatment of this old man's stomatitis?
",['asthma cardiac asthma'],0
   She discussed patient with her nurse.  Patient is losing weight.  Question is whether this is a side effect of antidepressants (didn't get which antidepressant she's on).,"
   Is weight loss a side effect of antidepressants (didn't get which antidepressant)?
","['antidepressants', 'antidepressant']",1
   She discussed patient with her nurse.  Patient is losing weight.  Question is whether this is a side effect of antidepressants (didn't get which antidepressant she's on).,"
   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
","['antidepressants', 'antidepressant']",0
   Child has pectus carinatum.  Radiologist told Dr. X sometimes there are associated congenital heart problems.  Dr. X wants to study up on this.  Does the patient have these associated problems?,"
   Child, pectus carinatum. Does patient have associated congenital heart disease?
","['congenital heart problems', 'carinatum']",1
   Child has pectus carinatum.  Radiologist told Dr. X sometimes there are associated congenital heart problems.  Dr. X wants to study up on this.  Does the patient have these associated problems?,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
","['congenital heart problems', 'carinatum']",0
   Patient with hypertension but history of adrenal insufficiency.  Will I make her better or worse if I treat her hypertension?,"
   Hypertension, history of adrenal insufficiency. Will I make her better or worse if I treat hypertension?
","['adrenal insufficiency', 'hypertension']",1
   Patient with hypertension but history of adrenal insufficiency.  Will I make her better or worse if I treat her hypertension?,"
   Patient with transient ischemic attacks; I'm always uncomfortable with how quickly to pursue a workup.
","['adrenal insufficiency', 'hypertension']",0
   Has a rash that is not getting better.  How should I treat it?  Would Cordran be appropriate?,"
   Rash not getting better. How should I treat it? Would Cordran be appropriate?
","['rash', 'Cordran']",1
   Has a rash that is not getting better.  How should I treat it?  Would Cordran be appropriate?,Patient got sore breasts from Premarin 0.625 milligrams.  Is there a smaller pill?,"['rash', 'Cordran']",0
"   Patient having significant hot flashes.  Are any of her medications causing her hot flashes?  On Premarin, Provera, and Prozac.  Elevated urinary metanephrines.  You order these tests and then wonder what to do with them.","
   Are any medications causing her hot flashes?  On Premarin, Provera, and Prozac.
",['Prozac'],1
"   Patient having significant hot flashes.  Are any of her medications causing her hot flashes?  On Premarin, Provera, and Prozac.  Elevated urinary metanephrines.  You order these tests and then wonder what to do with them.","
   Can testes not being in the scrotum come from just being tense?
",['Prozac'],0
How to get this patient to follow through on needed colonoscopy (has had rectal bleeding and colonoscopy was recommended by gastroenterologist in 1995)?,"
   How to get this patient to follow through on needed colonoscopy?
",['rectal bleeding'],1
How to get this patient to follow through on needed colonoscopy (has had rectal bleeding and colonoscopy was recommended by gastroenterologist in 1995)?,"
   What size pills does digoxin come in?
",['rectal bleeding'],0
   What anti-inflammatory can I give this patient?  She can't swallow pills.  She needs to crush and dissolve it and put milk on it.  Can I use Naprosyn EC (enteric coated)?,"
   What anti-inflammatory drug can I give this patient? She can't swallow pills.
",[],1
   Do you generally use antiinflammatory drugs for acute joint injuries before you inject?,"
   Do you generally use nonsteroidal anti-inflammatory drugs for acute joint injuries before you inject?
",[],1
   Do you generally use antiinflammatory drugs for acute joint injuries before you inject?,"
   Why did she get Coccidiomycosis?
",[],0
"   This is a dilemma.  I'm seeing a lot of women who have an abnormal Papanicolaou smear (ASCUS -- Atypical Squamous Cells of Uncertain Significance) that I THINK is just due to lack of estrogen.  I suspect this is the cause in many cases, but I have to follow up and tell the woman her Papanicolaou smear is abnormal and they get anxious.","
   This is a dilemma. I am seeing lot of women with atypical squamous cells of uncertain significance (ASCUS) that I THINK is lack of estrogen.
","['ASCUS', 'estrogen']",1
"   This is a dilemma.  I'm seeing a lot of women who have an abnormal Papanicolaou smear (ASCUS -- Atypical Squamous Cells of Uncertain Significance) that I THINK is just due to lack of estrogen.  I suspect this is the cause in many cases, but I have to follow up and tell the woman her Papanicolaou smear is abnormal and they get anxious.","
   Is melatonin good for anything?  What is the dose?
","['ASCUS', 'estrogen']",0
This patient is 22 weeks by dates but today measures about 26 weeks.  Why the discrepancy?  Could it be polyhydramnios?  I guess it could be physician error.,"22 weeks by dates, measures 26 weeks. Why the discrepancy? Polyhydramnios?",['polyhydramnios'],1
This patient is 22 weeks by dates but today measures about 26 weeks.  Why the discrepancy?  Could it be polyhydramnios?  I guess it could be physician error.,"
   Can I use low molecular weight heparin in pregnancy (patient with deep vein thrombosis last pregnancy)?
",['polyhydramnios'],0
"How to regulate the protime on this patient?  With Coumadin 5, it's too high and with 2 it's too low and there's no dosage in between (the patient isn't eating lettuce).","
   How to regulate the protime on this patient?
",[],1
"How to regulate the protime on this patient?  With Coumadin 5, it's too high and with 2 it's too low and there's no dosage in between (the patient isn't eating lettuce).","
   Boys' father has Marfan's Syndrome. Do these boys need further evaluation?
",[],0
   Does Cozaar bother renal function?,"
   Does Cozaar bother renal function?
",[],1
   Does Cozaar bother renal function?,"
   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
",[],0
   Patient complaining of legs being weak and she fell.  Could Diovan (valsartan) do this?,"
   Patient complaining of legs being weak and she fell.  Could Diovan (valsartan) do this?
",['valsartan'],1
   Patient complaining of legs being weak and she fell.  Could Diovan (valsartan) do this?,"
   Why did they cut out the Coccidiomycosis granuloma rather than treat it medically?
",['valsartan'],0
   What does the discharge of atrophic vaginitis look like?  She has a brown discharge.,"
   Brown discharge. What does the discharge of atrophic vaginitis look like?
",['vaginitis'],1
   What does the discharge of atrophic vaginitis look like?  She has a brown discharge.,How should I treat polymenorrhea in a 14-year-old girl?,['vaginitis'],0
   What is Zyprexa?,"
   What is Zyprexa?
",[],1
"Complains of  fever 101, burns on inside or ears and throat, ears normal, throat red.  What is it?  I'm going to look up infectious mononucleosis symptoms.","Fever 101, burns inside ears, throat, ears normal, throat red.  What is it?","['fever', 'Complains', 'throat', 'burns', 'mononucleosis symptoms']",1
